id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ để khắc phục và 15 phút để phản hồi ban đầu kể từ khi ticket được tạo [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,Every claim in the answer is directly supported by the retrieved context.,5,The answer directly and completely addresses the question by providing both the response time and resolution time for P1 tickets.,5,Retrieved: 1/1 expected sources,5,"Model answer covers all key points from the expected answer, including both the initial response time and the resolution time.",baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,Every claim in the answer is directly supported by the retrieved context.,5,The answer directly and completely addresses the question by specifying the timeframe for requesting a refund.,5,Retrieved: 1/1 expected sources,5,The model answer fully covers all key points from the expected answer.,baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần có sự phê duyệt của Line Manager, IT Admin và IT Security [1].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",1,"The answer mentions Level 3 access and requires approvals that are not supported by the retrieved context, which only details Level 1 and Level 2 access.",5,The answer directly and completely addresses the question by specifying who needs to approve Level 3 access.,5,Retrieved: 1/1 expected sources,5,Model answer covers all key points from the expected answer.,baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",4,"The answer accurately reflects the refund policy for digital products and the conditions for refunds, but it does not explicitly mention the 7-day requirement for requesting refunds.",4,The answer correctly states that digital products are generally non-refundable but lacks specific details about the conditions under which refunds may be granted.,5,Retrieved: 1/1 expected sources,3,The model answer correctly states that digital products are not refundable but fails to mention that they are exceptions according to the refund policy.,baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, bạn cần liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,3,"The answer about the account being locked and the need to contact IT Helpdesk is mostly grounded, but the specific detail about being locked after 5 failed attempts is not found in the retrieved context.",5,The answer directly and completely addresses the question about account lockout after failed login attempts.,5,Retrieved: 1/1 expected sources,5,Model answer fully covers the expected answer and provides additional relevant information.,baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra theo quy trình sau:

1. On-call engineer nhận alert hoặc ticket và xác nhận severity trong 5 phút.
2. Nếu không có phản hồi trong 10 phút, ticket sẽ tự động escalate lên Senior Engineer.
3. Lead Engineer phân công engineer xử lý trong 10 phút.
4. Engineer cập nhật tiến độ lên ticket mỗi 30 phút và nếu cần hỗ trợ thêm, sẽ escalate ngay.

Thông báo tới các bên liên quan cũng được thực hiện ngay khi nhận ticket và cập nhật mỗi 30 phút cho đến khi sự cố được giải quyết [2][3].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,3,The answer includes some accurate steps from the retrieved context but introduces details about escalation timing and updates that are not explicitly mentioned.,5,The answer directly and completely outlines the escalation process for a P1 incident.,5,Retrieved: 1/1 expected sources,4,"The model answer includes the escalation process and additional details, but it adds steps that are not part of the expected answer, such as the role of the Lead Engineer and the notification process.",baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,Thông tin về Approval Matrix để cấp quyền hệ thống không có trong các tài liệu được cung cấp.,Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,3,"The answer correctly states that information about the Approval Matrix is not provided, but it lacks specific details from the retrieved context.",1,The answer does not address the question about what the Approval Matrix is.,5,Retrieved: 1/1 expected sources,1,The model answer does not mention the current name of the document or provide any relevant information about the Approval Matrix.,baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi hoàn thành thời gian thử việc [1].,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,The answer accurately reflects the information in the retrieved context regarding remote work conditions after the probation period.,5,The answer directly and completely addresses the question about the maximum number of remote work days per week.,5,Retrieved: 1/1 expected sources,5,Model answer covers all key points from the expected answer.,baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Thông tin về lỗi ERR-403-AUTH và cách xử lý không có trong các tài liệu được cung cấp.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",1,The answer does not reference any information from the retrieved context and introduces a new error code without support.,1,The answer does not provide any information about the ERR-403-AUTH error or how to handle it.,5,No expected sources (abstain case) — full score,5,"Model answer accurately reflects the lack of information about the error and suggests contacting IT Helpdesk, aligning with the expected answer.",baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Thông tin về quy trình hoàn tiền khẩn cấp cho khách hàng VIP không có trong các tài liệu được cung cấp.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",3,"The answer correctly states that information about the refund process for VIP customers is not provided, but it lacks details about the general refund process mentioned in the retrieved context.",3,"The answer indicates a lack of information about the process, which is somewhat relevant but does not directly address the question.",5,Retrieved: 1/1 expected sources,5,"Model answer accurately reflects that there is no special procedure for VIP customers regarding urgent refunds, aligning with the expected answer.",baseline_dense
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ để khắc phục và 15 phút để phản hồi ban đầu kể từ khi ticket được tạo [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,Every claim in the answer is directly supported by the retrieved context.,5,The answer directly and completely addresses the question by providing both the response time and resolution time for P1 tickets.,5,Retrieved: 1/1 expected sources,5,"Model answer covers all key points from the expected answer, including both the initial response time and the resolution time.",variant_hybrid
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,Every claim in the answer is directly supported by the retrieved context.,5,The answer directly and completely addresses the question by specifying the time frame for requesting a refund.,5,Retrieved: 1/1 expected sources,5,The model answer fully covers all key points from the expected answer.,variant_hybrid
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần có sự phê duyệt của Line Manager, IT Admin và IT Security [2].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",2,"The answer mentions Level 3 access and its approval process, which is not found in the retrieved context.",5,The answer directly and completely addresses the question by specifying who needs to approve Level 3 access.,5,Retrieved: 1/1 expected sources,5,Model answer includes all key points from the expected answer.,variant_hybrid
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",4,"The answer accurately states that digital products are non-refundable unless there is a manufacturer defect, but it does not explicitly mention the 7-day requirement for refund requests.",4,The answer correctly states that digital products are generally non-refundable but lacks specific details about the conditions under which refunds may be granted.,5,Retrieved: 1/1 expected sources,3,"The model answer correctly states that digital products are generally non-refundable but introduces an exception for manufacturer errors, which is not mentioned in the expected answer.",variant_hybrid
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, bạn cần liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,3,"The answer about the account being locked after 5 failed login attempts is not found in the retrieved context, suggesting some information may come from model knowledge.",5,The answer directly and completely addresses the question about account lockout after failed login attempts.,5,Retrieved: 1/1 expected sources,5,Model answer fully covers the key point from the expected answer and provides additional relevant information.,variant_hybrid
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra như sau: On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời. Sau 24 giờ, phải có ticket chính thức hoặc quyền sẽ bị thu hồi tự động. Tất cả quyền tạm thời phải được ghi log vào hệ thống Security Audit [1].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,3,"The answer includes some details about the escalation process that are not explicitly mentioned in the retrieved context, such as the 24-hour limit and the requirement for a ticket.",5,The answer directly and completely addresses the question about the escalation process in a P1 incident.,5,Retrieved: 1/1 expected sources,1,"The model answer does not address the automatic escalation of the P1 ticket to a Senior Engineer within 10 minutes, which is the key point from the expected answer.",variant_hybrid
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,Thông tin về Approval Matrix để cấp quyền hệ thống không có trong các tài liệu được cung cấp.,Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,3,"The answer correctly identifies that the Approval Matrix is not mentioned in the retrieved context, but it lacks specific details about the escalation process.",1,The answer does not address the question about what the Approval Matrix is.,5,Retrieved: 1/1 expected sources,1,The model answer does not mention the current name of the document or provide any relevant information about the Approval Matrix.,variant_hybrid
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,"Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi hoàn thành thời gian thử việc, và lịch remote phải được phê duyệt bởi Team Lead qua HR Portal [1].","Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,Every claim in the answer is directly supported by the retrieved context.,5,The answer directly and completely addresses the question about the maximum number of remote days allowed per week.,5,Retrieved: 1/1 expected sources,5,Model answer covers all key points from the expected answer.,variant_hybrid
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Thông tin về lỗi ERR-403-AUTH và cách xử lý không có trong các tài liệu được cung cấp.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",1,The answer about the error ERR-403-AUTH is not supported by any information in the retrieved context.,1,The answer does not provide any information about the ERR-403-AUTH error or how to handle it.,5,No expected sources (abstain case) — full score,5,"Model answer accurately reflects the lack of information about the error and suggests contacting IT Helpdesk, aligning with the expected answer.",variant_hybrid
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Thông tin về quy trình hoàn tiền khẩn cấp cho khách hàng VIP không có trong các tài liệu được cung cấp.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",1,"The answer claims information about a refund process for VIP customers that is not mentioned in the retrieved context, indicating a lack of grounding.",3,"The answer indicates a lack of information about the process, which is somewhat relevant but does not directly address the question.",5,Retrieved: 1/1 expected sources,4,The model answer conveys the lack of specific information about a special process for VIP customers but does not mention the standard processing time of 3-5 business days.,variant_hybrid
